source,target,similarity
11965,19512,0.644
11965,29785,0.64
11965,27347,0.64
11965,28161,0.632
11965,35215,0.6313
11973,35521,0.682
11973,25282,0.677
11973,27347,0.6636
11973,11965,0.6064
11978,19507,0.668
11978,17954,0.661
11978,34346,0.66
11978,29779,0.658
11978,35451,0.6377
11978,12262,0.6367
11982,19509,0.725
11982,23512,0.701
11982,17448,0.6753
11982,22324,0.6626
11982,12558,0.655
11982,36604,0.6357
12032,617,0.618
12033,12034,0.616
12034,12033,0.616
12112,12113,0.604
12113,12444,0.647
12113,12112,0.604
12172,15310,0.6294
12200,27232,0.683
12206,13184,0.6055
12212,28587,0.681
12226,23491,0.6924
12226,15600,0.664
12226,31360,0.6353
12226,17585,0.621
12226,22607,0.6113
12226,18030,0.6025
12252,22378,0.621
12252,20058,0.604
12256,12257,0.7256
12256,37035,0.694
12256,30892,0.6714
12256,17584,0.668
12256,35220,0.662
12256,35024,0.661
12256,15630,0.651
12257,12256,0.7256
12257,30892,0.663
12257,33534,0.6553
12257,29581,0.6436
12257,26064,0.6367
12257,37592,0.634
12257,29175,0.633
12257,32863,0.626
12262,29779,0.646
12262,36950,0.6445
12262,18967,0.6436
12262,25676,0.643
12262,11978,0.6367
12262,15886,0.636
12262,17566,0.6294
12265,34039,0.612
12265,35216,0.6055
12265,35215,0.6025
12266,23455,0.6377
12266,22501,0.629
12266,30170,0.624
12266,17448,0.611
12266,17576,0.6094
12284,7095,0.634
12286,25676,0.8125
12286,19663,0.753
12286,35215,0.7456
12286,29835,0.698
12286,11725,0.6875
12286,24649,0.687
12286,12288,0.672
12286,35944,0.6685
12286,37846,0.6445
12288,30168,0.698
12288,29785,0.69
12288,20705,0.69
12288,12286,0.672
12288,25675,0.6714
12288,35215,0.6636
12288,37846,0.657
12306,24579,0.609
12310,2431,0.633
12326,35086,0.667
12326,34828,0.6304
12326,23716,0.6245
12326,21709,0.622
12366,12367,0.649
12367,21661,0.6733
12367,22496,0.6714
12367,12366,0.649
12367,20705,0.6167
12367,17476,0.6035
12390,12391,0.71
12390,36892,0.6343
12391,12390,0.71
12391,31275,0.644
12414,15740,0.603
12435,15836,0.6567
12435,15599,0.6333
12435,29171,0.601
12444,12113,0.647
12474,28160,0.6084
12475,28161,0.7397
12475,17955,0.731
12475,37846,0.717
12475,14689,0.717
12475,35573,0.7134
12475,29784,0.7134
12475,17447,0.707
12475,20468,0.6567
12491,23122,0.634
12503,29835,0.666
12503,19663,0.6626
12503,12286,0.641
12503,25676,0.639
12503,11725,0.621
12503,34029,0.604
12503,30953,0.603
12524,22518,0.643
12524,35208,0.632
12524,23629,0.6216
12524,37846,0.62
12524,22608,0.6084
12524,31359,0.6045
12524,19943,0.601
12555,19512,0.708
12555,30532,0.6294
12555,34354,0.625
12555,30509,0.6084
12555,32021,0.608
12558,19509,0.727
12558,18635,0.6567
12558,11982,0.655
12558,23512,0.614
12558,22324,0.6006
12564,11782,0.601
12630,25168,0.6
12673,12674,0.706
12674,12673,0.706
12690,23218,0.703
12690,21417,0.6143
12690,30951,0.606
12755,7770,0.729
12755,30876,0.609
12760,32267,0.656
12767,28780,0.8745
12775,32613,0.615
12793,34354,0.643
12793,31631,0.634
12793,24649,0.631
12793,17959,0.6104
12793,37846,0.603
12794,12475,0.6377
12818,12825,0.6753
12821,17522,0.638
12821,11236,0.6104
12821,19854,0.61
12825,12818,0.6753
12825,19849,0.655
12825,30997,0.6323
12848,32062,0.6377
12848,37062,0.6074
12861,27545,0.699
12879,30292,0.6733
12887,30806,0.675
12887,25342,0.657
12887,35854,0.631
12887,30791,0.628
12887,19296,0.601
12899,15288,0.618
12902,31135,0.6113
12945,10065,0.6694
13015,21489,0.656
13017,37568,0.6187
13023,16321,0.6206
13043,7695,0.6064
13072,14306,0.647
13073,20742,0.6504
13076,5290,0.797
13088,2638,0.632
13095,32323,0.811
13127,20918,0.633
13128,15611,0.89
13136,30168,0.653
13136,25677,0.647
13136,28161,0.6294
13136,11725,0.6
13142,34037,0.666
13142,34765,0.606
13144,29875,0.6826
13144,15664,0.6436
13144,35530,0.626
13144,15674,0.6177
13145,2560,0.8213
13149,20821,0.645
13149,20217,0.6094
13149,19512,0.606
13168,18748,0.613
13175,6410,0.7095
13249,13250,0.6826
13250,13249,0.6826
13250,14694,0.6343
13250,11317,0.6294
